state,county,fips,year,dvotes,rvotes
AL,AUTAUGA,1001,1984,3366,8350
AL,AUTAUGA,1001,1988,3667,7828
AL,AUTAUGA,1001,1992,4816,8712
AL,AUTAUGA,1001,1996,5012,9515
AL,AUTAUGA,1001,2000,4942,11993
AL,AUTAUGA,1001,2004,4758,15196
AL,AUTAUGA,1001,2008,6093,17403
AL,AUTAUGA,1001,2012,6354,17366
AL,AUTAUGA,1001,2016,5908,18110
AL,BALDWIN,1003,1984,7272,24964
AL,BALDWIN,1003,1988,9271,25933
AL,BALDWIN,1003,1992,12177,26259
AL,BALDWIN,1003,1996,12769,29496
AL,BALDWIN,1003,2000,13997,40872
AL,BALDWIN,1003,2004,15599,52971
AL,BALDWIN,1003,2008,19386,61271
AL,BALDWIN,1003,2012,18329,65772
AL,BALDWIN,1003,2016,18409,72780
AL,BARBOUR,1005,1984,4591,5459
AL,BARBOUR,1005,1988,3836,4958
AL,BARBOUR,1005,1992,4840,4475
AL,BARBOUR,1005,1996,4790,3626
AL,BARBOUR,1005,2000,5188,5096
AL,BARBOUR,1005,2004,4832,5899
AL,BARBOUR,1005,2008,5697,5866
AL,BARBOUR,1005,2012,5873,5539
AL,BARBOUR,1005,2016,4848,5431
AL,BIBB,1007,1984,2167,3487
AL,BIBB,1007,1988,2244,2885
AL,BIBB,1007,1992,2903,3125
AL,BIBB,1007,1996,2772,3037
AL,BIBB,1007,2000,2710,4273
AL,BIBB,1007,2004,2089,5472
AL,BIBB,1007,2008,2299,6262
AL,BIBB,1007,2012,2200,6131
AL,BIBB,1007,2016,1874,6733
AL,BLOUNT,1009,1984,3738,8508
AL,BLOUNT,1009,1988,4485,8754
AL,BLOUNT,1009,1992,5430,8880
AL,BLOUNT,1009,1996,5058,9058
AL,BLOUNT,1009,2000,4977,12667
AL,BLOUNT,1009,2004,3938,17386
AL,BLOUNT,1009,2008,3522,20389
AL,BLOUNT,1009,2012,2961,20741
AL,BLOUNT,1009,2016,2150,22808
AL,BULLOCK,1011,1984,3537,1697
AL,BULLOCK,1011,1988,3122,1421
AL,BULLOCK,1011,1992,3260,1252
AL,BULLOCK,1011,1996,3078,1153
AL,BULLOCK,1011,2000,3395,1433
AL,BULLOCK,1011,2004,3210,1494
AL,BULLOCK,1011,2008,4011,1391
AL,BULLOCK,1011,2012,4058,1250
AL,BULLOCK,1011,2016,3530,1139
AL,BUTLER,1013,1984,3641,4941
AL,BUTLER,1013,1988,3465,3923
AL,BUTLER,1013,1992,4019,3493
AL,BUTLER,1013,1996,3831,3349
AL,BUTLER,1013,2000,3606,4127
AL,BUTLER,1013,2004,3413,4979
AL,BUTLER,1013,2008,4188,5485
AL,BUTLER,1013,2012,4367,5081
AL,BUTLER,1013,2016,3716,4891
AL,CALHOUN,1015,1984,12752,23291
AL,CALHOUN,1015,1988,12451,19806
